index,family,kind,n,m,delta,siriaisa_size,optimum,ratio,expected_constant,within_bound,siriaisa_ms,milp_ms
0,path,bounded,23,22,2,8,8,1.0000,2.0000,1,2.999,14.958
1,cycle,bounded,20,20,2,7,7,1.0000,2.0000,1,3.182,12.911
2,ladder,bounded,20,28,3,6,6,1.0000,3.0000,1,3.665,14.000
3,grid,bounded,16,24,4,4,4,1.0000,4.0000,1,2.737,9.765
4,regular,bounded,10,20,4,3,3,1.0000,4.0000,1,1.713,10.649
5,balanced_tree,bounded,15,14,3,5,5,1.0000,3.0000,1,1.828,12.037
6,lollipop,bounded,6,6,3,2,2,1.0000,3.0000,1,1.223,1.044
7,clique,rigid,1,0,0,1,1,1.0000,1.0000,1,0.306,0.849
8,star,rigid,7,6,6,1,1,1.0000,1.0000,1,0.922,0.947
9,complete_bipartite,rigid,20,99,11,9,9,1.0000,1.0000,1,3.333,1.837
10,crown,rigid,4,2,1,2,2,1.0000,1.0000,1,0.815,0.836
11,double_star,rigid,7,6,4,3,3,1.0000,1.0000,1,1.040,0.822
12,erdos_renyi,random,29,37,6,11,11,1.0000,6.0000,1,4.311,9.347
13,barabasi_albert,random,13,12,6,6,6,1.0000,6.0000,1,1.770,1.027
14,random_tree,random,32,31,5,11,11,1.0000,5.0000,1,3.937,12.085
15,path,bounded,7,6,2,3,3,1.0000,2.0000,1,1.154,0.942
16,cycle,bounded,12,12,2,4,4,1.0000,2.0000,1,1.314,11.266
17,ladder,bounded,34,49,3,9,9,1.0000,3.0000,1,5.133,10.784
18,grid,bounded,10,13,3,3,3,1.0000,4.0000,1,1.801,10.065
19,regular,bounded,8,12,3,2,2,1.0000,3.0000,1,1.198,9.820
20,balanced_tree,bounded,15,14,3,5,5,1.0000,3.0000,1,2.089,12.163
21,lollipop,bounded,9,11,4,3,3,1.0000,4.0000,1,1.587,16.350
22,clique,rigid,7,21,6,1,1,1.0000,1.0000,1,1.145,1.091
23,star,rigid,4,3,3,1,1,1.0000,1.0000,1,0.705,0.941
24,complete_bipartite,rigid,13,22,11,2,2,1.0000,1.0000,1,1.586,1.182
25,crown,rigid,10,20,4,2,2,1.0000,1.0000,1,1.207,8.926
26,double_star,rigid,6,5,4,2,2,1.0000,1.0000,1,1.231,0.974
27,erdos_renyi,random,22,63,9,5,5,1.0000,9.0000,1,4.358,19.789
28,barabasi_albert,random,26,48,12,5,5,1.0000,12.0000,1,3.995,9.401
29,random_tree,random,20,19,4,8,8,1.0000,4.0000,1,2.585,1.356
30,path,bounded,3,2,2,1,1,1.0000,2.0000,1,0.759,0.810
31,cycle,bounded,28,28,2,10,10,1.0000,2.0000,1,2.967,11.784
32,ladder,bounded,24,34,3,7,7,1.0000,3.0000,1,3.480,11.503
33,grid,bounded,25,40,4,7,7,1.0000,4.0000,1,4.082,12.464
34,regular,bounded,29,29,2,10,10,1.0000,2.0000,1,3.461,11.538
35,balanced_tree,bounded,13,12,4,3,3,1.0000,4.0000,1,1.749,1.036
36,lollipop,bounded,17,31,7,4,4,1.0000,7.0000,1,2.524,10.721
37,clique,rigid,10,45,9,1,1,1.0000,1.0000,1,1.618,1.224
38,star,rigid,3,2,2,1,1,1.0000,1.0000,1,0.751,0.931
39,complete_bipartite,rigid,16,60,10,6,6,1.0000,1.0000,1,2.677,1.355
40,crown,rigid,4,2,1,2,2,1.0000,1.0000,1,0.746,0.775
41,double_star,rigid,17,16,10,7,7,1.0000,1.0000,1,1.779,0.968
42,erdos_renyi,random,16,60,11,2,2,1.0000,11.0000,1,2.717,7.838
43,barabasi_albert,random,22,21,7,10,10,1.0000,7.0000,1,2.663,1.453
44,random_tree,random,38,37,4,13,13,1.0000,4.0000,1,4.879,12.857
45,path,bounded,33,32,2,11,11,1.0000,2.0000,1,4.535,10.022
46,cycle,bounded,7,7,2,3,3,1.0000,2.0000,1,1.137,10.807
47,ladder,bounded,30,43,3,8,8,1.0000,3.0000,1,4.660,10.114
48,grid,bounded,8,10,3,3,3,1.0000,4.0000,1,1.472,10.535
49,regular,bounded,10,25,5,2,2,1.0000,5.0000,1,1.469,10.499
50,balanced_tree,bounded,13,12,4,3,3,1.0000,4.0000,1,1.774,1.029
51,lollipop,bounded,10,30,8,2,2,1.0000,8.0000,1,1.750,1.130
52,clique,rigid,1,0,0,1,1,1.0000,1.0000,1,0.301,0.822
53,star,rigid,21,20,20,1,1,1.0000,1.0000,1,1.813,1.114
54,complete_bipartite,rigid,23,132,12,11,11,1.0000,1.0000,1,4.309,2.295
55,crown,rigid,6,6,2,2,2,1.0000,1.0000,1,0.742,11.236
56,double_star,rigid,16,15,12,4,4,1.0000,1.0000,1,1.997,1.128
57,erdos_renyi,random,21,82,12,3,3,1.0000,12.0000,1,4.494,8.543
58,barabasi_albert,random,26,48,12,9,9,1.0000,12.0000,1,3.762,11.829
59,random_tree,random,17,16,3,6,6,1.0000,3.0000,1,2.271,11.163
60,path,bounded,14,13,2,5,5,1.0000,2.0000,1,2.098,11.694
61,cycle,bounded,5,5,2,2,2,1.0000,2.0000,1,0.889,11.138
62,ladder,bounded,34,49,3,9,9,1.0000,3.0000,1,5.233,9.549
63,grid,bounded,15,22,4,4,4,1.0000,4.0000,1,2.466,9.682
64,regular,bounded,13,26,4,3,3,1.0000,4.0000,1,1.823,10.242
65,balanced_tree,bounded,15,14,3,5,5,1.0000,3.0000,1,2.134,12.548
66,lollipop,bounded,13,15,4,4,4,1.0000,4.0000,1,2.049,12.055
67,clique,rigid,11,55,10,1,1,1.0000,1.0000,1,1.980,1.405
68,star,rigid,23,22,22,1,1,1.0000,1.0000,1,2.186,1.133
69,complete_bipartite,rigid,12,27,9,3,3,1.0000,1.0000,1,1.426,1.896
70,crown,rigid,8,12,3,2,2,1.0000,1.0000,1,1.141,9.318
71,double_star,rigid,15,14,10,5,5,1.0000,1.0000,1,1.949,1.028
72,erdos_renyi,random,24,67,9,4,4,1.0000,9.0000,1,4.876,8.192
73,barabasi_albert,random,20,19,8,7,7,1.0000,8.0000,1,2.511,1.141
74,random_tree,random,17,16,5,8,8,1.0000,5.0000,1,2.186,0.993
75,path,bounded,40,39,2,14,14,1.0000,2.0000,1,4.335,10.624
76,cycle,bounded,21,21,2,7,7,1.0000,2.0000,1,2.469,12.086
77,ladder,bounded,28,40,3,8,8,1.0000,3.0000,1,5.741,11.826
78,grid,bounded,6,7,3,2,2,1.0000,4.0000,1,1.143,10.338
79,regular,bounded,34,51,3,10,10,1.0000,3.0000,1,4.326,46.788
80,balanced_tree,bounded,13,12,4,3,3,1.0000,4.0000,1,1.607,1.110
81,lollipop,bounded,10,15,5,3,3,1.0000,5.0000,1,1.438,16.738
82,clique,rigid,6,15,5,1,1,1.0000,1.0000,1,0.988,1.060
83,star,rigid,6,5,5,1,1,1.0000,1.0000,1,0.873,1.099
84,complete_bipartite,rigid,8,15,5,3,3,1.0000,1.0000,1,1.325,1.057
85,crown,rigid,4,2,1,2,2,1.0000,1.0000,1,0.838,0.842
86,double_star,rigid,14,13,11,3,3,1.0000,1.0000,1,1.536,0.901
